Data/Hora: 2024-11-14 20:34:26 | Cidade: São Paulo | Temperatura: 17.07°C | Umidade: 90%
Data/Hora: 2024-11-14 20:35:00 | Cidade: São Paulo | Temperatura: 17.04°C | Umidade: 90%
Data/Hora: 2024-11-18 15:05:43 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:06:34 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:06:39 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:06:58 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:07:05 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:07:08 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:07:18 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:07:21 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:07:37 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:07:41 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:07:45 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:07:47 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:08:17 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:08:32 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:08:35 | Cidade: São Paulo | Temperatura: 30.41°C | Umidade: 52%
Data/Hora: 2024-11-18 15:22:47 | Cidade: São Paulo | Temperatura: 31.68°C | Umidade: 45%
